Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2015-01-01,31079,1495335,39613,61149,36505,44949,2422276,43686
2015-01-01,21005,525716,37033,21891,4873,32512,810685,7533
2015-01-01,31105,80789,41579,3716,1640,36296,154506,2533
2015-01-01,18111,327575,36950,13968,3687,41789,516124,5023
2015-01-01,35009,1305216,42069,50299,22847,58832,2116030,26662
2015-01-01,28021,119561,29289,9214,4079,51794,269868,4922
2015-01-01,51181,172012,41149,6670,2685,82922,274462,3350
2015-01-01,48345,16725,31697,1146,388,22966,36325,812
2015-01-01,48227,805341,34671,37282,13563,52235,1292589,17148
2015-01-01,39039,896047,37378,38328,16511,46351,1432632,21144
2015-01-01,48177,520786,44324,20532,7721,50371,910059,11641
2015-01-01,05149,364743,30635,21513,6932,34646,659056,9427
2015-01-01,21181,122379,32839,7061,1041,23526,231875,2237
2015-01-01,05091,783975,31388,43912,14453,40586,1378307,18638
2015-01-01,48461,107387,45719,3656,1885,63669,167147,2671
2015-01-01,23001,2443238,37821,107155,51447,45738,4052681,61709
2015-01-01,40085,204629,35582,9785,5703,38924,348169,7263
2015-01-01,39155,4331385,37477,203336,73965,47200,7620486,94462
2015-01-01,16059,122657,38807,7736,2526,32923,300211,4113
2015-01-01,20089,77299,46672,2962,890,37647,138241,1745
2015-01-01,35039,628733,32582,39364,10941,30962,1282562,15824
2015-01-01,54063,199348,28717,13578,2159,32032,389924,4055
2015-01-01,20141,88362,43285,3642,1530,31999,157644,2696
2015-01-01,55049,682050,44555,23591,11183,42047,1051091,15882
2015-01-01,26013,128768,30450,8583,2942,44559,261354,3597
2015-01-01,06055,5648393,63995,141096,78830,64835,9029483,103102
2015-01-01,55083,1025159,41996,37478,9509,41148,1573919,13976
2015-01-01,32001,533977,39319,23934,8740,49405,941068,11699
2015-01-01,19073,228297,45393,8942,3751,40472,405904,5565
2015-01-01,48403,126702,33591,10445,2359,36738,350856,3606
2015-01-01,55069,694551,41208,27858,11432,43380,1147959,15371
2015-01-01,56019,258066,50031,8609,3440,37050,430717,6080
2015-01-01,16079,226936,35852,12456,4829,42545,446571,6420
2015-01-01,32021,67115,34891,4422,1637,48512,154289,2001
2015-01-01,19043,468825,46189,17727,7183,41185,818799,11114
2015-01-01,06051,367270,45073,14043,7235,47747,632967,9617
2015-01-01,12063,664483,28993,48625,15121,37273,1409782,20252
2015-01-01,20063,121528,63364,2698,1385,56437,170956,2342
2015-01-01,46049,43026,42602,2307,731,34446,98282,1319
2015-01-01,46065,541120,48823,17551,11229,46408,856898,14061
2015-01-01,46027,314346,37709,13764,7046,39934,519030,8804
2015-01-01,46011,958287,43837,33796,20259,48095,1481528,24403
2015-01-01,51091,35627,43698,2196,595,26329,95961,1314
2015-01-01,28123,460534,28517,28446,13657,38274,811187,16563
2015-01-01,13183,303970,27086,17646,1112,34071,477961,1892
2015-01-01,31033,322302,48173,10136,6322,56340,488284,8020
2015-01-01,37127,2106094,38734,93805,43312,45656,3633459,52612
2015-01-01,45055,1470416,38052,63648,18410,42138,2421937,25231
2015-01-01,01049,1194095,29844,71112,22773,37358,2122280,31276
2015-01-01,01111,353549,30935,22598,5424,33824,699079,8005
2015-01-01,47001,1762395,38486,75485,40626,59886,2905078,48444
2015-01-01,01121,1430108,31665,81055,31691,48804,2566637,37434
2015-01-01,18147,546193,40115,20639,7530,42772,827933,10055
2015-01-01,18161,143590,34035,7185,1434,33741,244543,2321
2015-01-01,04009,595648,29575,37873,9528,46888,1120106,12081
2015-01-01,31107,260194,48710,8468,3297,44129,412477,5565
2015-01-01,51131,251526,42862,12095,5220,38464,518415,7029
2015-01-01,31047,672755,41431,23903,12236,48860,990326,15366
2015-01-01,47023,303540,30748,17106,4053,37737,525977,5877
2015-01-01,01065,268055,34161,15018,3080,34129,513031,4935
2015-01-01,16063,127311,35727,5303,1683,50110,189459,2510
2015-01-01,22047,752251,36829,33137,16671,66261,1220399,20112
2015-01-01,29215,317278,26308,25652,6213,29076,674863,9988
2015-01-01,18083,862486,40496,37763,19123,44856,1529259,22847
2015-01-01,40003,141386,43464,5903,1903,42787,256566,3484
2015-01-01,47155,2117467,35932,95386,46473,37722,3427366,60255
2015-01-01,38095,43848,43118,2250,803,26786,97015,1704
2015-01-01,21163,641520,36841,27740,4648,37300,1021957,7294
2015-01-01,21041,263633,39326,10700,7023,65163,420792,8099
2015-01-01,21085,443046,31272,26143,8104,32541,817551,12214
2015-01-01,48001,1087175,32030,57646,21379,41868,1846394,28263
2015-01-01,48385,40376,34892,3297,815,24763,115039,1708
2015-01-01,31013,303353,43524,11327,5522,55834,492998,7229
2015-01-01,48017,221880,44705,7222,2468,64857,322862,3470
2015-01-01,40141,180181,38779,7584,2105,48428,294102,3323
2015-01-01,26021,3795205,42486,155071,65819,49936,6588310,83430
2015-01-01,48261,21821,66502,440,736,79466,29261,800
2015-01-01,40081,723966,33855,34930,7337,33145,1182549,13412
2015-01-01,54037,1683223,45133,56081,17450,41270,2531100,24019
2015-01-01,19149,904971,53976,24903,11598,54322,1344165,15556
2015-01-01,05115,1252294,32833,63577,29610,42181,2087400,36239
2015-01-01,48477,926375,49152,34833,16185,40648,1712110,24261
2015-01-01,48213,1578177,36673,79507,17664,34175,2915765,30815
2015-01-01,26053,240258,36550,15537,5672,39795,567874,7139
2015-01-01,48039,11815664,45606,345617,111079,54431,15762367,154368
2015-01-01,36115,1340949,35859,62225,16341,46466,2231337,23056
2015-01-01,36103,59913953,60324,1492278,677336,62854,90020661,871134
2015-01-01,19091,289652,48390,9550,4172,46076,462129,5969
